generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
alogliptin,"anaphylactic shock, angioedema, dermatitis, diabetes mellitus, erythema multiforme, headache, hypersensitivity, hypoglycaemia, nasopharyngitis, pancreatitis, pancreatitis acute, rash",serum sickness,acute hepatic failure,,
alosetron,"abdominal discomfort, abdominal distension, abdominal pain upper, abnormal dreams, acne, alanine aminotransferase increased, alopecia, anxiety, arrhythmia, asthenia, balance disorder, bladder pain","blood bilirubin abnormal, cognitive disorder, colitis ulcerative, diverticulitis, drug interaction, gastric ph decreased, gastrointestinal infection, hyperchlorhydria, occult blood positive, proctitis","gastroduodenitis, gastrointestinal obstruction, haemorrhage urinary tract, hypopituitarism, intussusception",intestinal ischaemia,
alprazolam,"abdominal discomfort, abdominal pain, abnormal dreams, affect lability, aggression, agitation, akathisia, altered state of consciousness, amnesia, anger, angioedema, angiopathy","bradyphrenia, choking sensation, clumsiness, cognitive disorder, completed suicide, energy increased, fear, feeling drunk, feeling of relaxation, homicidal ideation",hyperprolactinaemia,disinhibition,drug withdrawal convulsions
alvimopan,"anaemia, back pain, connective tissue disorder, constipation, dyspepsia, flatulence, gastrointestinal disorder, hypokalaemia, malnutrition, urethral disorder, urinary retention, urinary tract disorder",,,,
amantadine,"aggression, agitation, agranulocytosis, alopecia, amnesia, anaphylactic shock, angiopathy, anxiety, arrhythmia, asthenia, ataxia, body temperature decreased","acute respiratory failure, coma, completed suicide, corneal oedema, elevated mood, hypersexuality, paralysis, pathological gambling",neuroleptic malignant syndrome,,sudden visual loss
ambrisentan,"abdominal pain, abdominal pain upper, anaemia, angina pectoris, angioedema, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, body temperature increased, breast disorder, bronchitis","blood disorder, traumatic liver injury",sperm concentration decreased,"autoimmune hepatitis, hepatic congestion, pulmonary veno-occlusive disease",
amcinonide,"dermatitis, dermatitis acneiform, dermatitis contact, folliculitis, hypertrichosis, infection, pain, pruritus, rash pustular, skin atrophy, tenderness","leukoderma, skin striae","cataract subcapsular, miliaria, secondary adrenocortical insufficiency","atrophy, dermatitis infected, pyoderma, telangiectasia",
amikacin,"albuminuria, anaemia, apnoea, arthralgia, azotaemia, body temperature increased, deafness, dermatitis, eosinophilia, headache, hearing impaired, hypomagnesaemia","blindness, paralysis",,,
aminophylline,"abdominal pain, abdominal pain upper, agitation, albuminuria, anxiety, arrhythmia, atrial fibrillation, body temperature increased, bronchial hyperreactivity, cardiac flutter, chronic obstructive pulmonary disease, convulsion","poisoning, rhabdomyolysis",,"atrial tachycardia, haemodynamic instability",overdose
amisulpride,"abdominal pain, aggression, agitation, agranulocytosis, akathisia, amenorrhoea, angioedema, angiopathy, anxiety, asthenia, bradycardia, breast pain","sudden death, tardive dyskinesia, torsade de pointes",neuroleptic malignant syndrome,pregnancy,
amoxapine,"abdominal pain, accommodation disorder, acute coronary syndrome, agitation, agranulocytosis, alopecia, asthenia, ataxia, atrial fibrillation, atrioventricular block, body temperature increased, breast enlargement","arrhythmia supraventricular, inappropriate antidiuretic hormone secretion, tardive dyskinesia, testicular swelling, tongue discolouration","lymphadenitis, neuroleptic malignant syndrome, painful ejaculation, parotid gland enlargement",,
amoxicillin,"abdominal pain, agitation, agranulocytosis, anaemia, anaphylactic shock, angioedema, anxiety, body temperature increased, candida infection, cholestasis, colitis, confusional state","clostridium difficile colitis, coma, epilepsy, haemolytic anaemia, meningitis, nephritis, serum sickness, superinfection, tongue discolouration, tubulointerstitial nephritis","acute generalised exanthematous pustulosis, crystalluria, enterocolitis haemorrhagic, leukocytoclastic vasculitis, mucocutaneous candidiasis, thrombocytopenic purpura, tooth discolouration",,
amphetamine,"abdominal pain, abdominal pain upper, acute coronary syndrome, affect lability, aggression, agitation, alopecia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety","acidosis, blood pressure systolic increased, coma, panic attack, panic reaction, psychomotor retardation, rhabdomyolysis, sudden death","drug dependence, hyperpyrexia, neuroleptic malignant syndrome, sleep terror, tourette's disorder",cardiac death,"anhedonia, tic, vasculitis cerebral"
ampicillin,"agranulocytosis, anaemia, anaphylactic shock, body temperature increased, dermatitis, dermatitis exfoliative, diarrhoea, eosinophilia, erythema multiforme, glossitis, leukopenia, nausea","anaphylactoid reaction, enterocolitis, laryngospasm, serum sickness, tongue discolouration",thrombocytopenic purpura,,
anagrelide,"abdominal discomfort, abdominal pain, acute coronary syndrome, alopecia, amblyopia, amnesia, anaemia, angina pectoris, aphthous stomatitis, arrhythmia, arthralgia, arthritis","alveolitis allergic, arrhythmia supraventricular, atrioventricular block complete, duodenal ulcer, ear disorder, laboratory test abnormal, pericarditis, torsade de pointes, tubulointerstitial nephritis","cardiac fibrillation, eosinophilic pneumonia, fibrosis, polycythaemia vera, pulmonary fibrosis",chronic myeloid leukaemia,essential thrombocythaemia
anastrozole,"abdominal pain, acute coronary syndrome, ageusia, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angina pectoris, angioedema, anxiety, arthralgia, arthritis","anaphylactoid reaction, breast neoplasm, cerebral infarction, cerebral ischaemia, coronary artery disease, cyst, hepatitis acute, hepatitis toxic, high density lipoprotein decreased, hip fracture","endometrial cancer, henoch-schonlein purpura, osteoporotic fracture","cutaneous vasculitis, musculoskeletal disorder, trigger finger, tumour flare",oestrogenic effect
anidulafungin,"abdominal pain, abdominal pain upper, alanine aminotransferase increased, amylase increased, anaemia, anaphylactic shock, angioedema, angiopathy, aspartate aminotransferase increased, atrial fibrillation, back pain, bacteraemia","bundle branch block right, clostridial infection, fungaemia, pruritus generalised, sinus arrhythmia, thrombophlebitis superficial, white blood cell count increased","drug level decreased, hepatic necrosis",,systemic candida
apixaban,"alanine aminotransferase increased, anaemia, anaphylactic shock, angiopathy, application site haemorrhage, aspartate aminotransferase increased, blood alkaline phosphatase increased, blood bilirubin increased, blood urine, blood urine present, breast disorder, cerebral haemorrhage","alanine aminotransferase abnormal, allergic oedema, catheter site haemorrhage, genital haemorrhage, haematochezia, haemorrhagic stroke, incision site haematoma, incision site haemorrhage, injection site haematoma, intra-abdominal haemorrhage","laryngeal haemorrhage, muscle haemorrhage, pharyngeal haemorrhage, respiratory tract haemorrhage","anal haemorrhage, haemorrhagic anaemia",periorbital haematoma
apraclonidine,"abdominal discomfort, abdominal pain, angiopathy, arrhythmia, asthenia, asthma, blepharitis, blepharospasm, bradycardia, chest pain, conjunctival follicles, conjunctival oedema","corneal infiltrates, eye oedema, eyelid disorder, eyelid margin crusting, eyelid retraction, heart rate irregular, keratopathy, presyncope, vital dye staining cornea present",,eyelid ptosis,
apremilast,"abdominal pain upper, cough, decreased appetite, dermatitis, diarrhoea, dyspepsia, gastrointestinal disorder, gastrooesophageal reflux disease, headache, hypersensitivity, immune system disorder, joint swelling",frequent bowel movements,,,
aprepitant,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, acute coronary syndrome, alanine aminotransferase increased, alopecia, altered state of consciousness, anaemia, anaphylactic shock, angioedema, angiopathy","blood albumin decreased, cognitive disorder, cyst, duodenal ulcer, enterocolitis, inappropriate antidiuretic hormone secretion, neutrophil count decreased, polyp, post procedural infection, procedural haemorrhage",miosis,"blood creatine increased, fasting, white blood cells urine positive","anxiety disorder, duodenal ulcer perforation, faeces hard, infusion site induration, infusion site pruritus, infusion site thrombosis, non-small cell lung cancer"
argatroban,"abdominal pain, acute coronary syndrome, angina pectoris, angiopathy, apnoea, atrial fibrillation, back pain, body temperature increased, bradycardia, cardiac arrest, cardiac failure, cerebrovascular accident","angina unstable, aortic valve stenosis, disseminated intravascular coagulation, peripheral ischaemia, respiratory failure, retroperitoneal haemorrhage","arterial thrombosis, coronary artery occlusion",coronary artery thrombosis,
aripiprazole,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, abnormal dreams, action tremor, acute coronary syndrome, affect lability, aggression, agitation, agranulocytosis","abdominal tenderness, abnormal faeces, agoraphobia, alcohol abuse, anaemia macrocytic, appendicitis, appetite disorder, arthropod bite, atrial flutter, atrioventricular block complete","alcoholism, asphyxia, bladder discomfort, cervicitis, coccydynia, diabetic ketoacidosis, drug withdrawal syndrome neonatal, electrocardiogram t wave abnormal","acute psychosis, benign prostatic hyperplasia, blood glucose fluctuation, carbohydrate tolerance decreased, cardio-respiratory arrest, diabetes mellitus inadequate control, diabetic hyperosmolar coma, eating disorder","abasia, akinaesthesia, alcohol poisoning, bacterial test positive, blood cholesterol decreased, blood creatine phosphokinase abnormal, blood creatine phosphokinase mb increased, blood pressure abnormal"
arsenic,"abdominal distension, abdominal pain, acute respiratory distress syndrome, agitation, alanine aminotransferase increased, anaemia, angiopathy, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, atrial fibrillation","abdominal tenderness, acidosis, arrhythmia supraventricular, atrial flutter, blood disorder, cerebral infarction, coma, disseminated intravascular coagulation, ear disorder, hypoalbuminaemia",diarrhoea haemorrhagic,"caecitis, retinoic acid syndrome",acute promyelocytic leukaemia differentiation syndrome
asenapine,"abdominal discomfort, accommodation disorder, agitation, agranulocytosis, akathisia, alanine aminotransferase increased, amenorrhoea, anaemia, anaphylactic shock, angioedema, angiopathy, anxiety","anaphylactoid reaction, blood disorder, completed suicide, pharyngeal oedema, restless legs syndrome, rhabdomyolysis, sinus bradycardia, swollen tongue, tardive dyskinesia, traumatic liver injury","drug withdrawal syndrome neonatal, hyperprolactinaemia, neuroleptic malignant syndrome",pregnancy,idiosyncratic drug reaction
atazanavir,"abdominal distension, abdominal pain, affect lability, agitation, alanine aminotransferase increased, alopecia, amenorrhoea, amnesia, amylase increased, angioedema, angiopathy, anxiety","atrioventricular block complete, drug eruption, drug interaction, dyslipidaemia, ear infection, hepatic steatosis, hepatosplenomegaly, lipohypertrophy, myocarditis, renal pain","atrioventricular block second degree, crystalluria, infertility male, obesity","atrophy, autoimmune disorder, basedow's disease, bundle branch block left, fasting, hepatitis c, hepatitis viral, insulin resistance","chronic hepatitis b, deficiency of bile secretion, dermatophytosis, dysplasia, staphylococcal scalded skin syndrome"
atomoxetine,"abdominal discomfort, abdominal pain, abdominal pain upper, abnormal behaviour, abnormal dreams, affect lability, aggression, agitation, angiopathy, anxiety, arthralgia, asthenia","autonomic nervous system imbalance, coma, completed suicide, drug abuse, drug interaction, ear infection, ejaculation failure, genital pain, mental status changes, presyncope","drug dependence, erection increased, neuroleptic malignant syndrome, pre-existing disease, suicidal behaviour, tearfulness",dependence,
atovaquone,"abdominal pain, alanine aminotransferase increased, amylase increased, anaemia, angioedema, anxiety, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood creatinine increased, body temperature increased, bronchospasm","keratopathy, laboratory test abnormal",methaemoglobinaemia,,
atropine,"abdominal distension, abdominal pain, accommodation disorder, acute coronary syndrome, ageusia, agitation, amnesia, anaphylactic shock, angina pectoris, angioedema, anxiety, arrhythmia","angle closure glaucoma, arrhythmia supraventricular, blindness, blood disorder, cerebellar syndrome, clumsiness, coma, extensor plantar response, haemoglobin increased, heart rate irregular","hyperpyrexia, nodal rhythm, skin warm","atrioventricular dissociation, cycloplegia","anhidrosis, labile blood pressure, rash scarlatiniform, ventricular flutter"
auranofin,"abdominal pain, agranulocytosis, alopecia, anaemia, angioedema, conjunctivitis, constipation, decreased appetite, dermatitis, dermatitis exfoliative, diarrhoea, dysgeusia","aplasia pure red cell, aplastic anaemia, colitis ulcerative, glomerulonephritis membranous, nephrotic syndrome",,,
avanafil,"abdominal discomfort, abdominal pain lower, agitation, alanine aminotransferase increased, angina pectoris, angiopathy, arthralgia, asthenia, back pain, blood bilirubin increased, blood creatinine increased, blood glucose increased","angina unstable, haematospermia, penile haemorrhage, priapism, prostate cancer","balanitis, erection increased, optic ischaemic neuropathy, premature ejaculation, prostatic specific antigen increased, upper respiratory tract congestion",spontaneous penile erection,inappropriate affect
axitinib,"abdominal pain, abdominal pain upper, acute coronary syndrome, alanine aminotransferase increased, alopecia, amylase increased, anaemia, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased","acute myocardial infarction, anal fistula, gastric haemorrhage, haemoglobin increased, hypertensive crisis, hypoalbuminaemia, liver disorder, lower gastrointestinal haemorrhage","posterior reversible encephalopathy syndrome, retinal vein occlusion",fistula,"brain cancer metastatic, metastases to central nervous system"
azathioprine,"abdominal discomfort, abdominal pain, agranulocytosis, alopecia, anaemia, anaemia megaloblastic, arrhythmia, arthralgia, bacterial infection, body temperature increased, chills, cholestasis","acute febrile neutrophilic dermatosis, acute leukaemia, acute myeloid leukaemia, anaemia macrocytic, aplastic anaemia, cervical dysplasia, cervix carcinoma stage 0, cyst, diverticulitis, formication","hepatosplenic t-cell lymphoma, inflammatory bowel disease, myasthenia gravis, nodular regenerative hyperplasia, peliosis hepatis, varicella","hepatitis b, hodgkin's disease, hodgkin's disease lymphocyte depletion type stage unspecified, hodgkin's disease lymphocyte predominance type stage unspecified, lymphoproliferative disorder, nitrogen balance negative, sarcoma, x-linked lymphoproliferative syndrome",
azelastine,"abdominal pain, ageusia, agitation, alanine aminotransferase increased, albuminuria, amenorrhoea, anaphylactic shock, anxiety, aphthous stomatitis, application site irritation, arthritis, asthenia","anaphylactoid reaction, congenital eye disorder, joint dislocation, mucosal ulceration, rheumatoid arthritis","nasal septum perforation, paranasal sinus hypersecretion","anosmia, eye burns",nocturnal dyspnoea
azithromycin,"abdominal pain, abdominal pain upper, acne, aggression, agitation, alanine aminotransferase increased, anaemia, anaphylactic shock, angioedema, anxiety, application site pain, application site reaction","abnormal faeces, drug interaction, ear infection, enteritis, nephritis, nephrotic syndrome, serum sickness, swelling face, tongue discolouration, torsade de pointes","congenital anomaly, developmental delay, drug-induced liver injury, hepatic necrosis","acquired immunodeficiency syndrome, autoimmune disorder, breast feeding, pyloric stenosis","genetic polymorphism, pathogen resistance, sinusitis bacterial"
aztreonam,"abdominal distension, abdominal pain, alanine aminotransferase increased, anaemia, anaphylactic shock, angioedema, aspartate aminotransferase increased, asthenia, blood creatinine increased, body temperature increased, breast tenderness, breath odour","vulvovaginal candidiasis, vulvovaginal mycotic infection",,,coombs test positive
baclofen,"abdominal pain, accommodation disorder, affect lability, ageusia, agitation, akathisia, albuminuria, alopecia, amnesia, anaemia, angiopathy, anxiety","autonomic nervous system imbalance, cerebral ischaemia, coma, completed suicide, conversion disorder, drug ineffective, haematochezia, hypogeusia, hypoventilation, meningitis","miosis, opisthotonus",,
belinostat,"abdominal pain, anaemia, asthenia, blood creatinine increased, body temperature increased, chills, constipation, cough, decreased appetite, dermatitis, diarrhoea, dizziness",,,,gastrointestinal toxicity
benzonatate,"abdominal discomfort, agitation, bronchospasm, confusional state, constipation, convulsion, depressed level of consciousness, dizziness, feeling abnormal, hallucination, visual, headache, hypersensitivity","gastrointestinal tract irritation, laryngospasm",clonic convulsion,,
benztropine,"apathy, body temperature increased, cerebrovascular accident, confusional state, constipation, decreased appetite, dermatitis, disorientation, dry mouth, dysphagia, dysuria, feeling abnormal",heat stroke,,,
besifloxacin,"conjunctival hyperaemia, eye irritation, eye pain, eye pruritus, headache, vision blurred",,,,
betaxolol,"abnormal dreams, acute coronary syndrome, affect lability, ageusia, agranulocytosis, alanine aminotransferase increased, alopecia, amnesia, anaemia, angina pectoris, angiopathy, anorectal disorder","abnormal sensation in eye, acidosis, cardiac failure acute, catatonia, conjunctival disorder, eyelid margin crusting, fibroadenoma of breast, intermittent claudication, laryngospasm, panophthalmitis","arterial thrombosis, breast abscess, hypoaesthesia eye, myasthenia gravis, peyronie's disease, pupils unequal, systemic lupus erythematosus, thrombocytopenic purpura",purpura non-thrombocytopenic,
bexarotene,"abdominal distension, abdominal pain, acne, affect lability, agitation, alanine aminotransferase increased, albuminuria, alopecia, amylase increased, anaemia, angina pectoris, angiopathy","abnormal faeces, blood disorder, corneal lesion, ear disorder, high density lipoprotein decreased, infection parasitic, laboratory test abnormal, lacrimal structural disorder, laryngospasm, lichenoid keratosis","hypocholesterolaemia, night blindness, vascular anomaly",fasting,"blood thromboplastin decreased, hypolipidaemia"
bicalutamide,"abdominal pain, acute coronary syndrome, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angioedema, angiopathy, anorectal disorder, anxiety, arrhythmia, arthritis","blood disorder, cerebral ischaemia, coronary artery disease, cyst, gastrointestinal carcinoma, hernia, hirsutism, iron deficiency anaemia, laboratory test abnormal, nuchal rigidity","balanitis, hydronephrosis, osteoporotic fracture, pulmonary fibrosis",,"bladder stenosis, hypertransaminasaemia"
bimatoprost,"angiopathy, anxiety, arthritis, asthenia, asthenopia, asthma, bladder pain, blepharal pigmentation, blepharitis, blepharospasm, bronchitis, burning sensation","conjunctival disorder, corneal oedema, eye oedema, eye swelling, eyelid margin crusting, eyelid retraction, hair growth abnormal, hirsutism, macular oedema","eyelash discolouration, eyelid irritation, vitreous floaters","chalazion, enophthalmos, trichorrhexis","conjunctival bleb, eyelid pain, instillation site irritation"
bisacodyl,"abdominal discomfort, abdominal pain, abdominal rigidity, anaphylactic shock, angioedema, anorectal discomfort, colitis, dehydration, diarrhoea, dizziness, gastrointestinal disorder, gastrointestinal pain",haematochezia,,,
bivalirudin,"abdominal pain, acute coronary syndrome, anaemia, anaphylactic shock, angina pectoris, angiopathy, anxiety, atelectasis, atrial fibrillation, back pain, body temperature increased, bradycardia","cerebral ischaemia, drug interaction, increased tendency to bruise, injection site haemorrhage, international normalised ratio increased, oesophageal haemorrhage, retroperitoneal haemorrhage, surgery, vessel puncture site haematoma","cardiac tamponade, electrocardiogram st segment elevation, pharyngeal haemorrhage, vascular anomaly","anal haemorrhage, arteriovenous fistula, coronary artery thrombosis, ear haemorrhage, injection site discomfort, pericardial haemorrhage, peritoneal haemorrhage, puncture site reaction",
bleomycin,"acute coronary syndrome, aggression, alopecia, anaemia, anaphylactic shock, arthritis, asthenia, bladder pain, body temperature increased, bronchospasm, cerebrovascular accident, chest pain","arteritis, radiation pneumonitis, skin striae","cystitis haemorrhagic, ichthyosis, ichthyosis acquired, pulmonary fibrosis, scleroderma",cerebral arteritis,"acute interstitial pneumonitis, chest x-ray normal, fraction of inspired oxygen, idiopathic pulmonary fibrosis, metaplasia, pleuropericarditis"
bortezomib,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, acne, acute coronary syndrome, acute respiratory distress syndrome, affective disorder, agitation, alcohol intolerance, amnesia, anaemia","abnormal faeces, acidosis, acute febrile neutrophilic dermatosis, adjustment disorder, anal fissure, angina unstable, atrial flutter, atrioventricular block complete, autonomic nervous system imbalance, blindness","amyloidosis, cardiac fibrillation, cardiac tamponade, coronary artery insufficiency, cystitis haemorrhagic, enzyme abnormality, foetor hepaticus, gastritis haemorrhagic","aplasia, cardiac valve disease, cardio-respiratory arrest, cutaneous vasculitis, deafness bilateral, device related infection, duodenitis haemorrhagic, ear haemorrhage","anal sphincter atony, anxiety disorder, bladder irritation, blood gases abnormal, blood test abnormal, blood uric acid abnormal, brain stem syndrome, bronchial disorder"
bosentan,"abdominal distension, abdominal pain, abdominal pain upper, acute coronary syndrome, affect lability, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety, arthralgia","atrioventricular block complete, blood pressure systolic decreased, duodenal ulcer, electrocardiogram change, eosinophil count increased, hepatic cirrhosis, nephropathy, panic attack, panophthalmitis, peripheral ischaemia",hydrocephalus,musculoskeletal disorder,bone marrow toxicity
bosutinib,"abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, acne, agranulocytosis, alanine aminotransferase increased, amylase increased, anaemia, anaphylactic shock, arthralgia, aspartate aminotransferase increased","abdominal tenderness, drug eruption, exfoliative rash, gastric haemorrhage, hepatitis toxic, lobar pneumonia, pericarditis, respiratory failure, respiratory tract infection viral, traumatic liver injury","acute lymphocytic leukaemia, acute pulmonary oedema","long qt syndrome, upper gastrointestinal haemorrhage","atypical pneumonia, gastrointestinal toxicity"
brinzolamide,"abdominal discomfort, abdominal pain upper, ageusia, agitation, alopecia, amnesia, angina pectoris, angiopathy, apathy, arrhythmia, arthralgia, asthenia","abnormal sensation in eye, blood chloride increased, corneal disorder, corneal epithelium defect, corneal oedema, eye swelling, eyelid disorder, eyelid margin crusting, frequent bowel movements, heart rate irregular","eye allergy, hypoaesthesia eye, motor dysfunction, skin tightness, upper respiratory tract congestion",medication residue present,"cardio-respiratory distress, deposit eye, foreign body in eye, optic nerve cupping, pterygium, scleral pigmentation, subconjunctival cyst"
budesonide,"abdominal distension, abdominal pain, abdominal pain upper, abscess, acne, affect lability, agitation, alopecia, amnesia, anaemia, anaphylactic shock, angioedema","adrenal insufficiency, benign intracranial hypertension, bronchospasm paradoxical, c-reactive protein increased, congenital eye disorder, cushing's syndrome, cushingoid, ear infection, enteritis, eye infection","leukocytoclastic vasculitis, nasal septum perforation, necrosis ischaemic, oropharyngeal candidiasis, pharyngeal disorder, secondary adrenocortical insufficiency","allergic granulomatous angiitis, anosmia, blood cortisol decreased, hyperadrenocorticism, psychiatric symptom, type iv hypersensitivity reaction","ear pruritus, gastrointestinal fistula"
bumetanide,"abdominal discomfort, abdominal pain, amylase increased, arthralgia, asthenia, azotaemia, blood creatinine increased, blood uric acid increased, chest pain, cholestasis, dehydration, dermatitis","asterixis, blood disorder, ear discomfort, nipple pain",premature ejaculation,,
buprenorphine,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abscess, affect lability, agitation, alanine aminotransferase increased, altered state of consciousness, amblyopia, anaphylactic shock, angina pectoris","biliary colic, coma, diverticulitis, drug interaction, hypoventilation, mental status changes, oropharyngeal swelling, pruritus generalised, respiration abnormal, respiratory disorder","atrioventricular block second degree, miosis",,
bupropion,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, abnormal dreams, acne, acute coronary syndrome, affect lability, aggression, agitation, akathisia","angle closure glaucoma, arthropod bite, atrioventricular block complete, back injury, bipolar disorder, bipolar i disorder, coma, completed suicide, concussion, cyst","facial bones fracture, nerve compression, nerve injury, neurological examination abnormal, painful ejaculation, pelvic infection, vitreous floaters","circumoral oedema, defaecation urgency, feeling of despair, food allergy, hepatitis c, musculoskeletal disorder, perseveration, pregnancy","animal scratch, breast calcifications, conjunctivitis infective, dyslexia, epicondylitis, feelings of worthlessness, gastritis viral, genital rash"
buspirone,"abnormal dreams, acne, acute coronary syndrome, affect lability, agitation, akathisia, alopecia, amenorrhoea, anger, angioedema, aphonia, arthralgia","alcohol abuse, decreased interest, dissociative disorder, electrocardiogram change, fear, functional gastrointestinal disorder, increased tendency to bruise, irritable bowel syndrome, nuchal rigidity, pelvic inflammatory disease","claustrophobia, miosis, serotonin syndrome",tunnel vision,
busulfan,"abdominal distension, abdominal pain, acute respiratory distress syndrome, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, amenorrhoea, anaemia, angiopathy, anorectal discomfort, anorectal disorder","acute leukaemia, adrenal insufficiency, aplastic anaemia, arrhythmia supraventricular, atrioventricular block complete, coma, drug interaction, ear disorder, left ventricular failure, menopause","cardiac fibrillation, cardiac tamponade, cystitis haemorrhagic, fibrosis, graft versus host disease, hepatic necrosis, hepatitis cholestatic, hyperuricosuria","aplasia, atrophy, chronic graft versus host disease, chronic myeloid leukaemia, corneal thinning, cytomegalovirus viraemia, death, delayed puberty","acute graft versus host disease, addison's disease, anhidrosis, dysplasia, dystrophic calcification, endocardial fibrosis, organ failure, peripheral artery thrombosis"
cabergoline,"abdominal discomfort, abdominal pain, abdominal pain upper, acne, aggression, alopecia, anxiety, arrhythmia, arthralgia, arthropathy, asthenia, back pain","duodenal ulcer, hemianopia, hypersexuality, pathological gambling, pericarditis, respiratory failure, sudden onset of sleep","congenital anomaly, congenital genitourinary abnormality, developmental delay, fibrosis, pericarditis constrictive, pleural fibrosis, pulmonary fibrosis, retroperitoneal fibrosis",cardiac valve disease,
