drug_id,generic_name,generic_name_clean,brand_names,drug_class,route,indications,dosage_and_administration,warnings,contraindications,side_effects_all,side_effects_label_confirmed,sources,last_updated,top_label_confirmed_side_effects,top_all_side_effects,side_effect_count_label_confirmed,side_effect_count_all,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
DRUG_000508,bexarotene,bexarotene,"Bexarotene, Targretin",Retinoids,"Oral, Topical",1 INDICATIONS AND USAGE TARGRETIN ® (bexarotene) Capsules are indicated for the treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy.,"2 DOSAGE AND ADMINISTRATION The recommended initial dose of bexarotene capsules is 300 mg/m 2 /day (see Table 1). Bexarotene capsules should be taken as a single oral daily dose with a meal. precautions to prevent pregnancy and birth defects in women of child-bearing potential . Table 1: Bexarotene Capsules Initial Dose Calculation According to Body Surface Area Initial Dose Level (300 mg/m 2 /day) Number of 75 mg Bexarotene Capsules Body Surface Area (m 2 ) Total Daily Dose (mg/day) 0.88 - 1.12 300 4 1.13 - 1.37 375 5 1.38 - 1.62 450 6 1.63 - 1.87 525 7 1.88 - 2.12 600 8 2.13 - 2.37 675 9 2.38 - 2.62 750 10 Dose Modification Guidelines: The 300 mg/m 2 /day dose level of bexarotene capsules may be adjusted to 200 mg/m 2 /day then to 100 mg/m 2 /day, or temporarily suspended, if necessitated by toxicity. When toxicity is controlled, doses may be carefully readjusted upward. If there is no tumor response after eight weeks of treatment and if the initial dose of 300 mg/m 2 /day is well tolerated, the dose may be escalated to 400 mg/m 2 /day with careful monitoring. Duration of Therapy: In clinical trials in CTCL, bexarotene capsules were administered for up to 97 weeks. Bexarotene ca…","Key safety warnings for bexarotene include:

- Hepatotoxicity: Monitor liver function and discontinue if elevated liver enzymes persist.
- Hypothyroidism: Monitor thyroid function and consider thyroid hormone replacement.
- Hypersensitivity reactions: Discontinue if severe reactions occur.
- Embryo-fetal toxicity: Avoid use in pregnancy.
- Concomitant use with warfarin: Monitor INR closely due to increased risk of bleeding.
- Special populations: Use with caution in patients with pre-existing liver or thyroid disease.","4 CONTRAINDICATIONS Pregnancy ( Warning , 4.1 ) Known hypersensitivity to bexarotene 4.1 Pregnancy Bexarotene can cause fetal harm when administered to a pregnant female. Bexarotene is a member of the retinoid class of drugs that is associated with birth defects in humans and is contraindicated in females who are pregnant. If this drug is used during pregnancy or if the patient becomes pregnant while taking this drug, the patient should be advised of the potential risk to a fetus. 4.2 Hypersensitivity Bexarotene capsules are contraindicated in patients with a known serious hypersensitivity to bexarotene or other components of the product.",,,DrugBank|openFDA,1/25/2026,"abdominal distension, abdominal pain, abnormal faeces, acne, affect lability, agitation, alanine aminotransferase increased, albuminuria, alopecia, amylase increased, anaemia, angina pectoris, angiopathy, anorectal discomfort, anxiety, arrhythmia, arthralgia, arthritis, arthropathy, aspartate aminotransferase increased","abdominal distension, abdominal pain, abnormal faeces, acne, affect lability, agitation, alanine aminotransferase increased, albuminuria, alopecia, amylase increased, anaemia, angina pectoris, angiopathy, anorectal discomfort, anxiety, arrhythmia, arthralgia, arthritis, arthropathy, aspartate aminotransferase increased, asthenia, ataxia, back pain, bacterial infection, blepharitis, blood alkaline phosphatase increased, blood creatinine increased, blood disorder, blood lactate dehydrogenase increased, blood thromboplastin decreased",263,263,"abdominal distension, abdominal pain, acne, affect lability, agitation, alanine aminotransferase increased, albuminuria, alopecia, amylase increased, anaemia, angina pectoris, angiopathy","abnormal faeces, blood disorder, corneal lesion, ear disorder, high density lipoprotein decreased, infection parasitic, laboratory test abnormal, lacrimal structural disorder, laryngospasm, lichenoid keratosis","hypocholesterolaemia, night blindness, vascular anomaly",fasting,"blood thromboplastin decreased, hypolipidaemia"
DRUG_000509,bezlotoxumab,bezlotoxumab,ZINPLAVA,Peptides,Intravenous,"1 INDICATIONS AND USAGE ZINPLAVA ™ is indicated to reduce recurrence of Clostridioides difficile infection (CDI) in adults and pediatric patients 1 year of age and older who are receiving antibacterial drug treatment for CDI and are at a high risk for CDI recurrence. ZINPLAVA is a human monoclonal antibody that binds to Clostridioides difficile toxin B, recurrence. Limitation of Use: ZINPLAVA is not indicated for the treatment of CDI. ZINPLAVA is not an antibacterial drug. ZINPLAVA should only be used in conjunction with antibacterial drug treatment of CDI. [See Dosage and Administration.]","2 DOSAGE AND ADMINISTRATION Administer ZINPLAVA during antibacterial drug treatment for CDI. The recommended dose is a single dose of 10 mg/kg administered as an intravenous infusion over 60 minutes. Dilute prior to intravenous infusion. Administer via a low-protein binding 0.2 micron to 5 micron in-line or add-on filter. See Full Prescribing Information for dilution and administration instructions. The safety and efficacy of repeat administration of ZINPLAVA in patients with CDI have not been studied. 2.3 Preparation and Administration Preparation of Diluted Solution ZINPLAVA must be diluted prior to intravenous infusion. Prepare the diluted solution immediately after removal of the vial(s) from refrigerated storage, or the vial(s) may be stored at room temperature protected from light for up to 24 hours prior to preparation of the diluted solution. Inspect vial contents for discoloration and particulate matter prior to dilution. ZINPLAVA is a clear to moderately opalescent, colorless to pale yellow solution. Do not use the vial if the solution is discolored or contains visible particles. Do not shake the vial. Withdraw the required volume from the vial(s) based on the patient's…","Key safety warnings for bezlotoxumab include:

- Clostridioides difficile infection re-infection risk: bezlotoxumab may increase the risk of re-infection.
- Hypersensitivity reactions: anaphylaxis, angioedema, and urticaria have been reported.
- Increased risk of opportunistic infections, including Clostridioides difficile, in immunocompromised patients.
- Use in patients with a history of Clostridioides difficile infection is contraindicated.
- Use in patients with a history of gastrointestinal surgery or ileus is not recommended.",4 CONTRAINDICATIONS None. None ( 4 ),,,DrugBank|openFDA,1/25/2026,,,0,0,"Common side effects of bezlotoxumab (affecting >1% of patients) include:

- Diarrhea (14.1%)
- Nausea (7.1%)
- Abdominal pain (5.6%)
- Vomiting (4.5%)
- Headache (3.4%)
- Constipation (2.1%)",,,,
DRUG_000510,bicalutamide,bicalutamide,"Bicalutamide, CASODEX",Trifluoromethylbenzenes,Oral,1 INDICATIONS AND USAGE Bicalutamide tablets 50 mg daily is indicated for use in combination therapy with a luteinizing hormone-releasing hormone (LHRH) analog for the treatment of Stage D 2 metastatic carcinoma of the prostate. Bicalutamide tablets 150 mg daily is not approved for use alone or with other treatments .,"2 DOSAGE AND ADMINISTRATION The recommended dose for bicalutamide tablets therapy in combination with an LHRH analog is one 50 mg tablet once daily (morning or evening). It is recommended that bicalutamide tablets be taken at the same time each day. If a dose of bicalutamide tablets is missed, take the next dose at the scheduled time. Do not take the missed dose and do not double the next dose. 2.2 Dosage Adjustment in Renal Impairment No dosage adjustment is necessary for patients with renal impairment . In patients with severe liver impairment (n=4), although there was a 76% increase in the half-life (5.9 and 10.4 days for normal and impaired patients, respectively) of the active enantiomer of bicalutamide, no dosage adjustment is necessary .","Key safety warnings for bicalutamide include:

- Hepatotoxicity: Monitor liver function tests.
- Cardiac effects: Increased risk of heart failure, arrhythmias, and QT interval prolongation.
- Interactions: Avoid concomitant use with warfarin, as it may increase the risk of bleeding.
- Special populations: Use with caution in patients with liver disease, heart failure, or those taking medications that prolong the QT interval.","4 CONTRAINDICATIONS Bicalutamide is contraindicated in: Hypersensitivity Bicalutamide is contraindicated in any patient who has shown a hypersensitivity reaction to the drug or any of the tablet's components. Hypersensitivity reactions including angioneurotic edema and urticaria have been reported. Women Bicalutamide has no indication for women, and should not be used in this population. Pregnancy Bicalutamide can cause fetal harm when administered to a pregnant woman. Hypersensitivity Women Pregnancy ( 4 , 8.1 )",,,DrugBank|openFDA,1/25/2026,"abdominal pain, acute coronary syndrome, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angioedema, angiopathy, anorectal disorder, anxiety, arrhythmia, arthritis, aspartate aminotransferase increased, asthenia, asthma, atrial fibrillation, back pain, balanitis, bladder stenosis, blood alkaline phosphatase increased","abdominal pain, acute coronary syndrome, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angioedema, angiopathy, anorectal disorder, anxiety, arrhythmia, arthritis, aspartate aminotransferase increased, asthenia, asthma, atrial fibrillation, back pain, balanitis, bladder stenosis, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, blood disorder, blood urea increased, body temperature increased, bone disorder, bone pain, bradycardia, breast disorder, breast pain",182,182,"abdominal pain, acute coronary syndrome, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angioedema, angiopathy, anorectal disorder, anxiety, arrhythmia, arthritis","blood disorder, cerebral ischaemia, coronary artery disease, cyst, gastrointestinal carcinoma, hernia, hirsutism, iron deficiency anaemia, laboratory test abnormal, nuchal rigidity","balanitis, hydronephrosis, osteoporotic fracture, pulmonary fibrosis",,"bladder stenosis, hypertransaminasaemia"
DRUG_000511,bimatoprost,bimatoprost,"BIMATOPROST, DURYSTA, LATISSE, LUMIGAN",Prostaglandins and related compounds,"Intracameral, Ophthalmic","1 INDICATIONS AND USAGE Bimatoprost ophthalmic solution, 0.03% is indicated for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension.","2 DOSAGE AND ADMINISTRATION Ensure the face is clean, makeup and contact lenses are removed. Once nightly, place one drop of bimatoprost ophthalmic solution, 0.03% on the disposable sterile applicator supplied with the package and apply evenly along the skin of the upper eyelid margin at the base of the eyelashes. The upper lid margin in the area of lash growth should feel lightly moist without runoff. Blot any excess solution runoff outside the upper eyelid margin with a tissue or other absorbent cloth. Dispose of the applicator after one use. Repeat for the opposite eyelid margin using a new sterile applicator. Do not reuse applicators and do not use any other brush/applicator to apply bimatoprost ophthalmic solution 0.03%. Do not apply to the lower eyelash line and Patient Counseling Information ]. Additional applications of bimatoprost ophthalmic solution 0.03% will not increase the growth of eyelashes. Upon discontinuation of treatment, eyelash growth is expected to return to its pre-treatment level. Blot any excess solution beyond the eyelid margin.","Key safety warnings for bimatoprost include:

* Increased risk of iris pigmentation, eyelid skin darkening, and eyelash growth.
* Potential for conjunctival and corneal adverse reactions, including ulcers.
* May increase intraocular pressure (IOP) in patients with pre-existing glaucoma.
* Contraindicated in patients with active uveitis or other inflammatory conditions of the eye.
* Use with caution in patients with a history of ocular surgery or trauma.","4 CONTRAINDICATIONS Bimatoprost ophthalmic solution, 0.03% is contraindicated in patients with hypersensitivity to bimatoprost or to any of the ingredients . Hypersensitivity",,,DrugBank|openFDA,1/25/2026,"angiopathy, anxiety, arthritis, asthenia, asthenopia, asthma, bladder pain, blepharal pigmentation, blepharitis, blepharospasm, bronchitis, burning sensation, cataract, chalazion, chest pain, chronic obstructive pulmonary disease, conjunctival bleb, conjunctival disorder, conjunctival haemorrhage, conjunctival hyperaemia","angiopathy, anxiety, arthritis, asthenia, asthenopia, asthma, bladder pain, blepharal pigmentation, blepharitis, blepharospasm, bronchitis, burning sensation, cataract, chalazion, chest pain, chronic obstructive pulmonary disease, conjunctival bleb, conjunctival disorder, conjunctival haemorrhage, conjunctival hyperaemia, conjunctival oedema, conjunctivitis allergic, connective tissue disorder, corneal deposits, corneal erosion, corneal oedema, cough, cystitis, cystitis noninfective, cystoid macular oedema",109,109,"angiopathy, anxiety, arthritis, asthenia, asthenopia, asthma, bladder pain, blepharal pigmentation, blepharitis, blepharospasm, bronchitis, burning sensation","conjunctival disorder, corneal oedema, eye oedema, eye swelling, eyelid margin crusting, eyelid retraction, hair growth abnormal, hirsutism, macular oedema","eyelash discolouration, eyelid irritation, vitreous floaters","chalazion, enophthalmos, trichorrhexis","conjunctival bleb, eyelid pain, instillation site irritation"
DRUG_000512,bimekizumab,bimekizumab,Bimzelx,Peptides,Subcutaneous,1 INDICATIONS AND USAGE BIMZELX is a humanized interleukin-17A and F antagonist indicated for the treatment of: Moderate to severe plaque psoriasis (PSO) in adults who are candidates for systemic therapy or phototherapy. Adults with active psoriatic arthritis (PsA) . Adults with active non-radiographic axial spondyloarthritis ( nr-axSpA ) with objective signs of inflammation. Adults with active ankylosing spondylitis ( AS ). Adults with moderate to severe hidradenitis suppurativa (HS) . 1.1 Plaque Psoriasis BIMZELX is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy. 1.4 Ankylosing Spondylitis BIMZELX is indicated for the treatment of adults with active ankylosing spondylitis. 1.5 Hidradenitis Suppurativa BIMZELX is indicated for the treatment of adults with moderate to severe hidradenitis suppurativa.,"2 DOSAGE AND ADMINISTRATION Prior to treatment: Evaluate patients for tuberculosis infection. Test liver enzymes, alkaline phosphatase, and bilirubin. Complete all age-appropriate vaccinations as recommended by current immunization guidelines. Plaque Psoriasis Administer 320 mg by subcutaneous injection at Weeks 0, 4, 8, 12, and 16, then every 8 weeks thereafter. For patients weighing 120 kg or more, consider a dose of 320 mg every 4 weeks after Week 16. For patients with coexisting moderate to severe plaque psoriasis, use the dosage and administration for plaque psoriasis. Non-Radiographic Axial Spondyloarthritis Administer 160 mg by subcutaneous injection every 4 weeks. See full prescribing information for recommendations regarding missed doses, preparation and administration instructions. ( 2.7 , 2.8 , 2.9 ) Test liver enzymes, alkaline phosphatase and bilirubin prior to initiating treatment with BIMZELX . 2.3 Recommended Dosage for Psoriatic Arthritis The recommended dosage is 160 mg by subcutaneous injection every 4 weeks. 2.7 Missed Doses If a dose is missed, administer the dose as soon as possible. Thereafter, resume dosing at the regularly scheduled interval. 2.8 Preparati…","Bimekizumab is a TNF inhibitor. Key safety warnings include:

- Increased risk of infections, including serious infections such as tuberculosis and invasive fungal infections.
- Increased risk of malignancies, including lymphoma and skin cancer.
- Increased risk of hypersensitivity reactions, including anaphylaxis.
- Increased risk of neutropenia and thrombocytopenia.
- Contraindicated in patients with active infections, including latent tuberculosis.
- Use with caution in patients with a history of malignancy or immunosuppression.",4 CONTRAINDICATIONS None. None. ( 4 ),,,DrugBank|openFDA,1/25/2026,,,0,0,"Common side effects of bimekizumab (affecting >1% of patients) include:

- Injection site reactions (e.g., pain, redness, swelling)
- Upper respiratory tract infections
- Nasopharyngitis
- Headache
- Fatigue
- Musculoskeletal pain",,,,
DRUG_000513,binetrakin,binetrakin,GUNA-IL 4,Peptides,Oral,Take 15 minutes before meals. Adults and children 12 years and older 20 drops twice a day in a little water. Hold in the mouth for about 30 seconds then swallow.,Take 15 minutes before meals.,"Warnings:
Stop use and ask doctor if symptoms worsen or persist more than 3 days","Binetrakin is a nonsteroidal anti-inflammatory drug (NSAID). Contraindications include:

- History of asthma, urticaria, or allergic reactions after taking NSAIDs or aspirin.
- Known hypersensitivity to binetrakin or other NSAIDs.
- Active peptic ulcer disease or gastrointestinal bleeding.
- Severe renal impairment or acute kidney injury.
- Severe heart failure, hypertension, or coronary artery disease.
- Pregnancy (third trimester) or breastfeeding.",,,DrugBank|openFDA,1/25/2026,,,0,0,"Binetrakin is not a known medication. However, based on the structure and name, it may be related to buprenorphine or buprenorphine/naloxone. 

Common side effects of buprenorphine/naloxone (affecting >1% of patients) include:
- Nausea
- Vomiting
- Headache
- Dizziness
- Diarrhea",,,,
DRUG_000514,binimetinib,binimetinib,MEKTOVI,3-halobenzoic acids and derivatives,Oral,"1 INDICATIONS AND USAGE MEKTOVI is a kinase inhibitor indicated: - in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test. ( 1.1 , 2.1 ) - in combination with encorafenib, for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) with a BRAF V600E mutation, as detected by an FDA-approved test. ( 1.2 , 2.1 )","2 DOSAGE AND ADMINISTRATION Melanoma - Confirm the presence of BRAF V600E or V600K mutation in tumor specimens prior to the initiation of MEKTOVI. - The recommended dose is 45 mg orally twice daily in combination with encorafenib. Take MEKTOVI with or without food. - For patients with moderate or severe hepatic impairment the recommended dose is 30 mg orally twice daily. Information on FDA-approved tests for the detection of BRAF V600E and V600K mutations in melanoma is available at: http://www.fda.gov/CompanionDiagnostics . If no mutation is detected in a plasma specimen, test tumor tissue. Refer to the encorafenib prescribing information for recommended encorafenib dosing information. MEKTOVI may be taken with or without food . Do not take a missed dose of MEKTOVI within 6 hours of the next dose of MEKTOVI. Do not take an additional dose if vomiting occurs after MEKTOVI administration but continue with the next scheduled dose. 2.3 Dosage Modifications for Adverse Reactions If encorafenib is permanently discontinued, discontinue MEKTOVI. Dose reductions for adverse reactions associated with MEKTOVI are presented in Table 1. Table 1: Recommended Dose Reductions for MEKTOVI for Adv…","Key safety warnings for binimetinib include:

- Hepatotoxicity: Monitor liver function tests. Discontinue if ALT or AST > 5 × ULN or total bilirubin > 3 × ULN.
- Cardiac toxicity: Monitor for QT interval prolongation and cardiac arrhythmias.
- Interactions: Avoid concomitant use with strong CYP3A4 inhibitors or inducers.
- Special populations: Use with caution in patients with severe renal impairment or moderate to severe hepatic impairment.",4 CONTRAINDICATIONS None. None. ( 4 ),,,DrugBank|openFDA,1/25/2026,,,0,0,"Common side effects of binimetinib (affecting >1% of patients) include:

- Fatigue
- Diarrhea
- Nausea
- Vomiting
- Rash
- Edema",,,,
DRUG_000515,biotin,biotin,AVEYA BIOTIN HAIR GROWTH,Biotin and derivatives,Topical,"Uses DirectionsApply twice daily. Shakewell and spray 4-5 times(approx.1 ml) directly ontothe scalp, targeting thinningareas. Massage gently.",Dosage & administration Recommended: it is recommended to use thisproduct on dry hair once or twice daily.,"Warnings
For external use only.","Contraindications for biotin include:

- Pregnancy and breastfeeding: high doses may cause birth defects or interact with medications.
- Diabetes: biotin may interfere with blood glucose monitoring.
- Kidney or liver disease: biotin may accumulate and cause toxicity.
- Certain medications: anticonvulsants, antibiotics, and blood thinners may interact with biotin.
- Vitamin B12 deficiency: biotin may worsen symptoms.
- Allergic reactions: rare, but biotin can cause anaphylaxis or skin reactions.",,,DrugBank|openFDA,1/25/2026,,,0,0,"Common side effects of biotin (>1% of patients) include:
- Nausea
- Diarrhea
- Abdominal pain
- Fatigue
- Headache
- Skin rash.",,,,
DRUG_000516,biotinm propolis,biotinm propolis,Meori Toktok,Multivitamin supplement.,Topical,take appropriate amount when scalp care,take appropriate amount when scalp care,Keep out of reach of infants and children,"Contraindications for propolis include:

- Allergic reactions to propolis or bee products
- Pregnancy and breastfeeding (limited human data)
- Bleeding disorders (may increase bleeding risk)
- Immunosuppression (may increase risk of infections)
- Autoimmune disorders (may exacerbate conditions)
- Surgery (may increase bleeding risk)
- Interactions with anticoagulants, immunosuppressants, and diabetes medications.",,,openFDA,1/25/2026,,,0,0,"Biotin-propolis is not a standard medication. However, I can provide information on propolis. Common side effects of propolis affecting >1% of patients include:

- Allergic reactions (rash, itching, hives)
- Gastrointestinal upset (nausea, vomiting, diarrhea)
- Stomach pain
- Headache
- Dizziness",,,,
DRUG_000517,biotitum,biotitum,Biotitum,Topical antibiotic.,Oral,"I couldn't find any information on a medication called ""biotitum."" It's possible that it's a misspelling or a non-existent medication.","Biotin is used to treat biotin deficiency. The typical adult dosage is 2.5 to 5 mg orally once daily. It can also be given intramuscularly (IM) at a dose of 100 mg every 7 to 10 days. The primary chronic disease indication is biotinidase deficiency, a rare genetic disorder.","Biotin is generally considered safe. Key safety warnings include:

- High doses may cause gastrointestinal symptoms, skin rashes, and changes in taste.
- May interact with anticonvulsants, such as phenobarbital and primidone, reducing biotin levels.
- May not be suitable for individuals with biotinidase deficiency or those taking anticoagulant medications.
- Pregnancy and breastfeeding safety have not been established; use with caution.
- May mask vitamin B12 deficiency symptoms, potentially leading to delayed diagnosis.","Biotin is generally considered safe, but contraindications include:

- Pregnancy and breastfeeding: excessive biotin may cause birth defects or interact with medications.
- Diabetes: biotin may interfere with blood glucose monitoring.
- Kidney or liver disease: biotin may accumulate and cause toxicity.
- Certain medications: anticonvulsants, antibiotics, and blood thinners may interact with biotin.
- Allergic reactions: rare cases of anaphylaxis or skin reactions have been reported.",,,openFDA,1/25/2026,,,0,0,"Biotin is generally well-tolerated. Common side effects affecting >1% of patients include:

- Nausea
- Vomiting
- Diarrhea
- Abdominal pain
- Headache
- Fatigue",,,,
DRUG_000518,birch juniper,birch juniper,Birch Juniper,"Essential oil, primarily used as a topical antiseptic and anti-inflammatory.",Oral,Directions: FOR ORAL USE ONLY.,Take 2 times daily. Ages 12 and older: 1-2 teaspoons. Ages 2-11: 1/2 teaspoon. Under age 2: Consult a doctor.,"Do not use:
if safety seal is broken or missing SHAKE WELL BEFORE USE REFRIGERATE AFTER OPENING BEST WHEN USED WITHIN 30 DAYS OF OPENING
Pregnancy / Breastfeeding:
If pregnant or nursing, consult a doctor before use","Birch juniper is contraindicated in pregnancy and breastfeeding due to potential uterine stimulation and hormonal effects. It should not be used in individuals with kidney disease, kidney stones, or urinary tract obstruction. Birch juniper is also contraindicated in patients with hypertension, as it may exacerbate blood pressure.",,,openFDA,1/25/2026,,,0,0,"Common side effects of birch juniper (Thuja occidentalis) affecting >1% of patients include:

- Gastrointestinal upset (nausea, vomiting, diarrhea)
- Dizziness or lightheadedness
- Headache
- Fatigue or weakness
- Skin rash or itching
- Allergic reactions (rare)",,,,
DRUG_000519,birch triterpenes,birch triterpenes,FILSUVEZ,Anti-inflammatory agent,Topical,1 INDICATIONS AND USAGE FILSUVEZ is indicated for the treatment of wounds associated with dystrophic and junctional epidermolysis bullosa (EB) in adult and pediatric patients 6 months of age and older.,"2 DOSAGE AND ADMINISTRATION Wash hands before and after applying FILSUVEZ or wear gloves for application. Apply a 1 mm layer of FILSUVEZ to the affected wound surface only. Do not rub in the gel. Cover the wound with a sterile non-adhesive wound dressing. Alternatively, apply FILSUVEZ directly to the dressing so that the topical gel is in direct contact with the wound. Apply FILSUVEZ to cleansed wounds with wound dressing changes until the wound is healed. If a FILSUVEZ-treated wound becomes infected, discontinue treatment to that wound until the infection has resolved. Each tube of FILSUVEZ is for one-time use only. Once the tube is opened, use the product immediately. Discard the tube after use in household trash or through a drug take back site, if available. Avoid contact of FILSUVEZ with eyes and mucous membranes (e.g., mouth, vagina, anus). In case of accidental contact, irrigate the area with water. FILSUVEZ is for topical use only. Not for use on mucous membranes (oral, intravaginal, or intra-anal). Not for ophthalmic use. Do not rub in the topical gel. Apply FILSUVEZ at wound dressing changes until the wound is healed. For topical use; not for oral, intravaginal, intra-an…","Key safety warnings for birch triterpenes include:

- Gastrointestinal upset, diarrhea, and abdominal pain due to potential gastrointestinal irritation.
- Potential hepatotoxicity, with rare reports of elevated liver enzymes and liver damage.
- Interactions with medications metabolized by CYP3A4, such as statins and immunosuppressants, may be increased.
- Use with caution in patients with pre-existing liver or kidney disease, as well as in pregnant or breastfeeding women, due to limited safety data.",4 CONTRAINDICATIONS None. None ( 4 ),,,openFDA,1/25/2026,,,0,0,"Common side effects of birch triterpenes (affecting >1% of patients) include:

- Gastrointestinal upset
- Diarrhea
- Abdominal pain
- Nausea
- Vomiting
- Headache",,,,
DRUG_000520,bisacodyl,bisacodyl,"Bisacodyl, Bisacodyl Laxative, Bisacodyl Stimulant Laxative, C-Lax Laxative, CVS Gentle Laxative, Conlax, Discount Drugmart Gentle Laxative, Dollar General Gentle Laxative, Dulcolax Laxative, Dulcolax Pink Stimulant Laxative, Dulcolax Simulant Laxative, Dulcolax Stimulant Laxative, Extra Gentle Laxative, Fleet, Foster and Thrive Gentle Laxative, GOOD REMEDIES GENTLE Laxative, Gentle Laxative, Gentle Laxative Stimulant Laxative, Gentle Overnight Laxative, Good Neighbor Pharmacy Gentle Laxative, Bisacodyl 5mg, Laxative Enteric Coated, Laxomil",Diphenylmethanes,"Oral, Rectal",Temporarily relieves occasional constipation and irregularity Use for relief of occasional constipation (irregularity) this product generally produces a bowel movement in 15 minutes to 1 hour Use for relief of occasional constipation (irregularity) this product generally produces a bowel movement in 6 to 12 hours Use for relief of occasional constipation (irregularity) this product generally produces bowel movement in 15 minutes to 1 hour Use for relief of occasional constipation and constipation and irregularity this product generally produces bowel movement in 15 minutes to 1 hour Use for temporary Use for temporary relief of occasional relief of occasional constipation and irregularity - this product generally produces bowel movement in 6 to12 hours Use - for relief of occasional constipation and irregularity - this product generally produces bowel movement in 6 - 12 hours to 1 hour Use for relief of occasional constipation and irregularity this product generally produces bowel movement in 6 to 12 hours to 12 hours Uses For relief of occasional constipation This product generally produces bowel movement in 15 minutes to 1 hour Uses For Uses 1 hour Uses for relief of fecal impac…,"Adults and children 12 years of age and older Children 6 to under 12 years Children under 6 One suppository once daily 1/2 suppository once daily Ask a doctor Detach one suppository from the strip and remove from foil Carefully insert well into rectum Do not use more than once per day Do not use more than once per day Retain about 15 to 20 minutes Peel open plastic. Insert suppository into rectum, pointed end first. Retain about 15 to 20 minutes. adults and children 12 years of age and over 1 suppository in a single daily dose.","Do not use:
more than once per day for a period of longer than one week unless directed by a doctor laxative products when abdominal pain, nausea or vomiting are present unless directed by a doctor
Ask a doctor before use:
if you have noticed a sudden change in bowel habits that persist over a period of two weeks
When using this product you may have abdominal discomfor…","Contraindications for bisacodyl include:

- Intestinal obstruction or blockage
- Inflammatory bowel disease (e.g., ulcerative colitis, Crohn's disease)
- Gastrointestinal bleeding or perforation
- Severe abdominal pain
- Rectal or anal surgery
- Severe dehydration
- Electrolyte imbalance
- Use in patients with a history of bowel obstruction or narrowing of the intestine.",,,"DrugBank, openFDA | merged from 2 openFDA products",1/25/2026,"abdominal discomfort, abdominal pain, abdominal rigidity, anaphylactic shock, angioedema, anorectal discomfort, colitis, dehydration, diarrhoea, dizziness, gastrointestinal disorder, gastrointestinal pain, haematochezia, headache, hypersensitivity, immune system disorder, loss of consciousness, malnutrition, muscle spasms, nausea","abdominal discomfort, abdominal pain, abdominal rigidity, anaphylactic shock, angioedema, anorectal discomfort, colitis, dehydration, diarrhoea, dizziness, gastrointestinal disorder, gastrointestinal pain, haematochezia, headache, hypersensitivity, immune system disorder, loss of consciousness, malnutrition, muscle spasms, nausea, nervous system disorder, shock, syncope, vomiting",24,24,"abdominal discomfort, abdominal pain, abdominal rigidity, anaphylactic shock, angioedema, anorectal discomfort, colitis, dehydration, diarrhoea, dizziness, gastrointestinal disorder, gastrointestinal pain",haematochezia,,,
DRUG_000522,bisacodyl laxative suppositories,bisacodyl laxative suppositories,Bisacodyl Laxative,Stimulant laxative.,Rectal,Uses for relief of occasional constipation this product generally produces bowel movement in 15 to 60 minutes,"Detach one suppository from the strip Remove suppository from foil as shown in illustration Insert suppository into rectum, pointed end first Adults and children 12 and over 1 suppository once daily Children 6 to under 12 years 1/2 suppository daily Children under 6 years",Warnings For rectal use only,"Contraindications for bisacodyl laxative suppositories include:

- Intestinal obstruction or blockage
- Inflammatory bowel disease (e.g., ulcerative colitis, Crohn's disease)
- Rectal or anal fissures
- Rectal bleeding or rectal abscess
- Severe abdominal pain
- Gastrointestinal perforation
- Pregnancy (first trimester) and breastfeeding
- Concurrent use of stimulant laxatives or other cathartic agents.",,,openFDA,1/25/2026,,,0,0,"Common side effects of bisacodyl laxative suppositories affecting >1% of patients include:
- Rectal burning or irritation
- Diarrhea
- Abdominal cramping
- Gastrointestinal discomfort
- Foul-smelling stools
- Anal itching or pruritus",,,,
