generic_name_clean,top_label_confirmed_side_effects,side_effect_count_label_confirmed
alogliptin,"dermatitis, diabetes mellitus, headache, hypersensitivity, hypoglycaemia, nasopharyngitis, rash, upper respiratory tract infection, urticaria, anaphylactic shock, angioedema, erythema multiforme, pancreatitis, pancreatitis acute, stevens-johnson syndrome, serum sickness, acute hepatic failure",17
alosetron,"abdominal discomfort, abdominal distension, abdominal pain upper, acne, alanine aminotransferase increased, alopecia, anxiety, asthenia, blood pressure increased, bone pain, burning sensation, colitis, constipation, contusion, cough, depression, dermatitis, dermatitis atopic, discomfort, dry mouth, eczema, fatigue, feeling abnormal, flatulence, gastritis, haemoglobin, haemorrhage, headache, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypoglycaemia, ileus, ill-defined disorder, infection, jaundice, malaise, muscle rigidity, muscle spasms, musculoskeletal discomfort, myalgia, nail disorder, nasopharyngitis, nausea, pain, photophobia, rash, skin disorder, tenderness, tremor, upper respiratory tract infection, urinary tract infection, urticaria, vomiting, abnormal dreams, arrhythmia, balance disorder, bladder pain, cholecystitis, colitis ischaemic, confusional state, cystitis, cystitis noninfective, dysthymic disorder, extrasystoles, feeling cold, feeling of body temperature change, folliculitis, fungal infection, gastroenteritis, haematoma, haemorrhoidal haemorrhage, haemorrhoids, hepatitis, hypoaesthesia, injury, menstrual disorder, musculoskeletal stiffness, pollakiuria, polyuria, regurgitation, respiratory tract infection, sinusitis, skin infection, sleep disorder, ulcer, urine output increased, viral diarrhoea, laryngitis, cognitive disorder, colitis ulcerative, diverticulitis, drug interaction, gastrointestinal infection, occult blood positive, proctitis, proctocolitis, rhinitis allergic, tachyarrhythmia, blood bilirubin abnormal, gastric ph decreased, gastroduodenitis, gastrointestinal obstruction, haemorrhage urinary tract, hyperchlorhydria, hypopituitarism, intussusception, respiration abnormal, respiratory disorder, intestinal ischaemia",111
alprazolam,"abdominal discomfort, abdominal pain, affect lability, agitation, akathisia, angiopathy, anxiety, arthralgia, asthenia, ataxia, back pain, blood bilirubin increased, body temperature increased, breast disorder, cardiac disorder, chest pain, chills, constipation, convulsion, decreased appetite, depression, dermatitis, diarrhoea, diplopia, discomfort, disturbance in attention, dizziness, dry mouth, dyskinesia, dyspepsia, dysphagia, dysphonia, dyspnoea, dysuria, epistaxis, eye disorder, fatigue, feeling abnormal, feeling hot, gastrointestinal disorder, gastrointestinal pain, hallucination, headache, hepatobiliary disease, hot flush, hyperhidrosis, hypersensitivity, hypersomnia, hypotension, hypotonia, ill-defined disorder, increased appetite, infection, infestation, influenza, insomnia, irritability, jaundice, lethargy, liver function test abnormal, malaise, malnutrition, mediastinal disorder, menopausal symptoms, menstruation irregular, mental disability, mental disorder, mood swings, muscle relaxant therapy, muscle rigidity, muscle spasms, muscular weakness, musculoskeletal discomfort, myalgia, nasopharyngitis, nausea, nervous system disorder, nervousness, oedema, oedema peripheral, osteoarthritis, pain in extremity, palpitations, paraesthesia, photophobia, photosensitivity reaction, pruritus, rash, salivary hypersecretion, sexual dysfunction, sinus tachycardia, skin disorder, somnolence, tachycardia, tension, thirst, tremor, upper respiratory tract infection, urethral disorder, urinary tract disorder, urticaria, vertigo, vision blurred, vomiting, weight decreased, weight increased, abnormal dreams, aggression, altered state of consciousness, amnesia, anger, angioedema, apathy, balance disorder, chest discomfort, confusional state, connective tissue disorder, depersonalisation, depressed level of consciousness, depressed mood, disorientation, disturbance in sexual arousal, dysarthria, dysmenorrhoea, ear pain, erythema multiforme, euphoric mood, feeling jittery, flat affect, galactorrhoea, gynaecomastia, hangover, hepatic failure, hepatic function abnormal, hepatitis, hyperaesthesia, hypoaesthesia, hypomania, laryngeal pain, libido decreased, loss of consciousness, major depression, mania, memory impairment, menstrual disorder, mental retardation, muscle spasticity, muscle twitching, musculoskeletal stiffness, mydriasis, nasal congestion, nightmare, pollakiuria, rhinorrhoea, road traffic accident, shock, sleep disorder, stevens-johnson syndrome, suicidal ideation, syncope, tinnitus, urinary incontinence, urinary retention, withdrawal syndrome, cold sweat, coordination abnormal, derealisation, hostility, hyperventilation, incontinence, libido increased, sticky skin, strangury, stupor, bradyphrenia, cognitive disorder, completed suicide, homicidal ideation, intraocular pressure increased, panic reaction, premenstrual syndrome, rhinitis allergic, sleep apnoea syndrome, substance abuse, choking sensation, clumsiness, energy increased, feeling drunk, feeling of relaxation, hyperprolactinaemia, logorrhoea, psychomotor retardation, sleep talking, sluggishness, disinhibition, fear, panic disorder, drug withdrawal convulsions, loss of control of legs",199
alvimopan,"anaemia, back pain, constipation, dyspepsia, flatulence, gastrointestinal disorder, hypokalaemia, malnutrition, urethral disorder, urinary tract disorder, connective tissue disorder, urinary retention",12
amantadine,"agitation, alopecia, angiopathy, anxiety, asthenia, ataxia, body temperature decreased, body temperature increased, cardiac disorder, constipation, convulsion, decreased appetite, dermatitis, diarrhoea, disturbance in attention, dizziness, dry mouth, dyskinesia, dyspepsia, dysphagia, dyspnoea, eczema, eye disorder, fatigue, feeling abnormal, gait disturbance, gastrointestinal disorder, hallucination, headache, hyperhidrosis, hypersensitivity, hypertension, hypokinesia, hypotension, hypothermia, insomnia, irritability, lethargy, leukopenia, livedo reticularis, liver function test abnormal, malnutrition, mediastinal disorder, mental disability, mental disorder, nausea, nervous system disorder, nervousness, neutropenia, oedema, oedema peripheral, orthostatic hypotension, osteoarthritis, palpitations, paraesthesia, photosensitivity reaction, pruritus, punctate keratitis, rash, skin disorder, somnolence, tachycardia, tachypnoea, tension, tremor, urethral disorder, urinary tract disorder, vision blurred, visual impairment, vomiting, aggression, agranulocytosis, amnesia, anaphylactic shock, arrhythmia, cardiac arrest, cardiac failure, cardiac failure congestive, confusional state, corneal opacity, delirium, depressed level of consciousness, disorientation, disturbance in sexual arousal, dysarthria, euphoric mood, hyperkinesia, hypertonia, keratitis, leukocytosis, libido decreased, mania, mydriasis, nasal dryness, nightmare, oculogyric crisis, paranoia, psychotic disorder, pulmonary oedema, renal failure acute, suicidal ideation, urinary incontinence, urinary retention, visual acuity reduced, delusion, libido increased, muscle contractions involuntary, stupor, acute respiratory failure, coma, completed suicide, corneal oedema, elevated mood, hypersexuality, paralysis, pathological gambling, neuroleptic malignant syndrome, sudden visual loss",118
ambrisentan,"abdominal pain, abdominal pain upper, anaemia, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, body temperature increased, breast disorder, bronchitis, cardiac disorder, chest pain, constipation, contusion, cough, decreased appetite, dermatitis, diarrhoea, discomfort, dizziness, dyspnoea, epistaxis, fatigue, fluid retention, flushing, gastritis, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemoglobin decreased, haemorrhage, headache, hepatobiliary disease, hypersensitivity, hypokalaemia, hypotension, infection, infestation, influenza, insomnia, malnutrition, mediastinal disorder, mental disorder, migraine, muscle spasms, musculoskeletal discomfort, myalgia, nasopharyngitis, nausea, nervous system disorder, oedema, oedema peripheral, palpitations, pharyngitis, pneumonia, pruritus, rash, rhinitis, sinus headache, skin ulcer, tachycardia, upper respiratory tract infection, urethral disorder, urinary tract disorder, urinary tract infection, vomiting, angina pectoris, angioedema, cardiac failure, chest discomfort, haematocrit decreased, hepatic failure, hepatitis, hepatotoxicity, immune system disorder, liver injury, loss of consciousness, nasal congestion, non-cardiac chest pain, pleural effusion, pulmonary hypertension, pulmonary oedema, rales, shock, sinusitis, sleep disorder, syncope, transaminases increased, vaginal haemorrhage, wheezing, nocturia, blood disorder, traumatic liver injury, sperm concentration decreased, autoimmune hepatitis, hepatic congestion, pulmonary veno-occlusive disease, right ventricular failure",98
amcinonide,"dermatitis, dermatitis acneiform, infection, pain, pruritus, tenderness, dermatitis contact, folliculitis, hypertrichosis, rash pustular, skin atrophy, leukoderma, skin striae, cataract subcapsular, miliaria, secondary adrenocortical insufficiency, atrophy, dermatitis infected, pyoderma, telangiectasia",20
amikacin,"anaemia, arthralgia, body temperature increased, dermatitis, headache, hypomagnesaemia, hypotension, musculoskeletal discomfort, nausea, neurotoxicity, paraesthesia, rash, tremor, vomiting, apnoea, azotaemia, deafness, eosinophilia, hearing impaired, infarction, nephropathy toxic, oliguria, ototoxicity, renal failure acute, albuminuria, paralysis, blindness",27
aminophylline,"abdominal pain, abdominal pain upper, agitation, anxiety, body temperature increased, convulsion, decreased appetite, dermatitis, dermatitis exfoliative, diarrhoea, dizziness, dyspepsia, flushing, gastrointestinal pain, headache, hyperglycaemia, hypersensitivity, hypokalaemia, hypotension, insomnia, irritability, nausea, nervousness, palpitations, rash, sinus tachycardia, skin exfoliation, tachycardia, tachypnoea, tension, tremor, urticaria, vomiting, arrhythmia, atrial fibrillation, bronchial hyperreactivity, cardiac flutter, chronic obstructive pulmonary disease, dermatitis contact, disorientation, extrasystoles, haematemesis, polyuria, shock, skin necrosis, ventricular arrhythmia, ventricular extrasystoles, albuminuria, supraventricular tachycardia, rhabdomyolysis, poisoning, atrial tachycardia, haemodynamic instability, overdose",54
amisulpride,"abdominal pain, agitation, akathisia, amenorrhoea, angiopathy, anxiety, asthenia, bradycardia, cardiac disorder, constipation, convulsion, depression, diarrhoea, dizziness, dry mouth, dyskinesia, dyspepsia, erectile dysfunction, extrapyramidal disorder, fatigue, gastrointestinal disorder, gastrointestinal pain, headache, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypokinesia, hypotension, insomnia, leukopenia, malnutrition, mental disorder, muscle rigidity, muscle spasms, nausea, nervous system disorder, nervousness, neuropathy peripheral, neutropenia, orthostatic hypotension, pruritus, salivary hypersecretion, skin disorder, somnolence, tension, tremor, urticaria, vomiting, weight decreased, weight increased, aggression, agranulocytosis, angioedema, breast pain, cardiac arrest, cardiovascular disorder, deep vein thrombosis, drug withdrawal syndrome, dystonia, embolism venous, endocrine disorder, galactorrhoea, gynaecomastia, immune system disorder, menstrual disorder, oculogyric crisis, pulmonary embolism, trismus, vaginal infection, vaginal inflammation, ventricular arrhythmia, ventricular fibrillation, ventricular tachycardia, suicide attempt, tardive dyskinesia, torsade de pointes, neuroleptic malignant syndrome, sudden death, pregnancy",80
amoxapine,"abdominal pain, agitation, alopecia, asthenia, ataxia, body temperature increased, constipation, convulsion, decreased appetite, dermatitis, diarrhoea, disturbance in attention, dizziness, dry mouth, dysgeusia, dyspepsia, erectile dysfunction, extrapyramidal disorder, fatigue, feeling abnormal, flatulence, gastrointestinal pain, hallucination, headache, hypertension, hypotension, increased appetite, insomnia, jaundice, leukopenia, menstruation irregular, mental disability, nausea, nervousness, oedema, palpitations, paraesthesia, petechiae, pruritus, purpura, rash, somnolence, stomatitis, tachycardia, tension, thrombocytopenia, tremor, urticaria, vascular purpura, vision blurred, vomiting, weight increased, accommodation disorder, acute coronary syndrome, agranulocytosis, atrial fibrillation, atrioventricular block, breast enlargement, confusional state, disorientation, disturbance in sexual arousal, eosinophilia, galactorrhoea, gynaecomastia, hepatitis, hypoaesthesia, hypomania, ileus paralytic, lacrimation increased, libido decreased, loss of consciousness, mydriasis, myocardial infarction, nasal congestion, nightmare, pancreatitis, pollakiuria, shock, syncope, tinnitus, urinary retention, vasculitis, cerebrovascular accident, coordination abnormal, delusion, sensory loss, arrhythmia supraventricular, inappropriate antidiuretic hormone secretion, tardive dyskinesia, tongue discolouration, lymphadenitis, neuroleptic malignant syndrome, painful ejaculation, parotid gland enlargement, testicular swelling",95
amoxicillin,"abdominal pain, agitation, anaemia, anxiety, body temperature increased, candida infection, colitis, convulsion, decreased appetite, dermatitis, dermatitis exfoliative, diarrhoea, dizziness, dry mouth, dysgeusia, feeling abnormal, flatulence, gastrointestinal disorder, gastrointestinal pain, haemoglobin, haemorrhage, headache, hepatobiliary disease, hypersensitivity, infection, infestation, insomnia, leukopenia, nausea, nervous system disorder, neutropenia, pruritus, rash, renal failure, renal impairment, skin disorder, stomatitis, thrombocytopenia, urethral disorder, urinary tract disorder, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, cholestasis, confusional state, eosinophilia, erythema multiforme, glossitis, hepatic function abnormal, hepatitis, hyperkinesia, immune system disorder, jaundice cholestatic, pseudomembranous colitis, rash erythematous, rash maculo-papular, stevens-johnson syndrome, toxic epidermal necrolysis, clostridium difficile colitis, coma, haemolytic anaemia, meningitis, nephritis, superinfection, tongue discolouration, tubulointerstitial nephritis, vulvovaginal candidiasis, vulvovaginal mycotic infection, acute generalised exanthematous pustulosis, crystalluria, enterocolitis haemorrhagic, epilepsy, leukocytoclastic vasculitis, serum sickness, thrombocytopenic purpura, tooth discolouration, mucocutaneous candidiasis",79
amphetamine,"abdominal pain, abdominal pain upper, affect lability, agitation, alopecia, angiopathy, anxiety, asthenia, ataxia, blood pressure increased, body temperature increased, breast disorder, cardiac disorder, chest pain, chills, constipation, convulsion, decreased appetite, depression, dermatitis, diarrhoea, disturbance in attention, dizziness, dry mouth, dysgeusia, dyskinesia, dyspepsia, dyspnoea, erectile dysfunction, eye disorder, fatigue, feeling abnormal, flushing, gastrointestinal disorder, gastrointestinal pain, hallucination, headache, hyperhidrosis, hypersensitivity, hypersomnia, hypertension, hypotension, increased appetite, infection, insomnia, irritability, lethargy, malnutrition, mental disability, mental disorder, mood swings, nausea, nervous system disorder, nervousness, palpitations, photosensitivity reaction, rash, skin disorder, somnolence, tachycardia, tension, tremor, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, viral infection, visual impairment, vomiting, weight decreased, acute coronary syndrome, aggression, anaphylactic shock, angina pectoris, angioedema, arrhythmia, cardiomyopathy, colitis ischaemic, compulsions, confusional state, connective tissue disorder, delirium, disturbance in sexual arousal, drug withdrawal syndrome, dysmenorrhoea, dysphoria, erythema multiforme, euphoric mood, extrasystoles, growth retardation, haemorrhage intracranial, hyperkinesia, injury, libido decreased, loss of consciousness, muscle twitching, mydriasis, myocardial infarction, pallor, paranoia, polyuria, psychotic disorder, shock, speech disorder, stevens-johnson syndrome, syncope, tooth disorder, toxic epidermal necrolysis, cerebrovascular accident, choreoathetosis, hyperreflexia, blood pressure systolic increased, coma, panic attack, panic reaction, rhabdomyolysis, acidosis, drug dependence, neuroleptic malignant syndrome, psychomotor retardation, sudden death, hyperpyrexia, tourette's disorder, cardiac death, anhedonia, sleep terror, tic, vasculitis cerebral",128
